Genes	Celltypes	Source
RPS5	Angiogenesis | negative	cancerSEA
NPM1	Angiogenesis | negative	cancerSEA
SLC25A5	Angiogenesis | negative	cancerSEA
HSP90AA1	Angiogenesis | negative	cancerSEA
EIF3I	Angiogenesis | negative	cancerSEA
RPLP0	Angiogenesis | negative	cancerSEA
RPL3	Angiogenesis | negative	cancerSEA
RPS16	Angiogenesis | negative	cancerSEA
RPS19	Angiogenesis | negative	cancerSEA
RPS10	Angiogenesis | negative	cancerSEA
RPS11	Angiogenesis | negative	cancerSEA
ILF2	Angiogenesis | negative	cancerSEA
RPS3	Angiogenesis | negative	cancerSEA
RPSA	Angiogenesis | negative	cancerSEA
RPS7	Angiogenesis | negative	cancerSEA
RPS4X	Angiogenesis | negative	cancerSEA
RPL10A	Angiogenesis | negative	cancerSEA
RACK1	Angiogenesis | negative	cancerSEA
RPS18	Angiogenesis | negative	cancerSEA
RPL36A	Angiogenesis | negative	cancerSEA
EEF1G	Angiogenesis | negative	cancerSEA
RPL18	Angiogenesis | negative	cancerSEA
NUCKS1	Angiogenesis | negative	cancerSEA
FTL	Angiogenesis | negative	cancerSEA
FBL	Angiogenesis | negative	cancerSEA
LSM5	Angiogenesis | negative	cancerSEA
RPS13	Angiogenesis | negative	cancerSEA
RPS15	Angiogenesis | negative	cancerSEA
CACYBP	Angiogenesis | negative	cancerSEA
RPL21	Angiogenesis | negative	cancerSEA
RPL5	Angiogenesis | negative	cancerSEA
SNRPC	Angiogenesis | negative	cancerSEA
SNRPB	Angiogenesis | negative	cancerSEA
EIF2S3	Angiogenesis | negative	cancerSEA
PPT1	Angiogenesis | negative	cancerSEA
RPS15A	Angiogenesis | negative	cancerSEA
RPS6	Angiogenesis | negative	cancerSEA
RPL13A	Angiogenesis | negative	cancerSEA
RPL11	Angiogenesis | negative	cancerSEA
RPS8	Angiogenesis | negative	cancerSEA
RPL32	Angiogenesis | negative	cancerSEA
RPS3A	Angiogenesis | negative	cancerSEA
RPL7A	Angiogenesis | negative	cancerSEA
CCT5	Angiogenesis | negative	cancerSEA
ATP5F1A	Angiogenesis | negative	cancerSEA
RPL29	Angiogenesis | negative	cancerSEA
RPS14	Angiogenesis | negative	cancerSEA
CNBP	Angiogenesis | negative	cancerSEA
PA2G4	Angiogenesis | negative	cancerSEA
RPL4	Angiogenesis | negative	cancerSEA
RPL15	Angiogenesis | negative	cancerSEA
UBE2N	Angiogenesis | negative	cancerSEA
SNRPE	Angiogenesis | negative	cancerSEA
RPL14	Angiogenesis | negative	cancerSEA
MRPL42	Angiogenesis | negative	cancerSEA
RPL23A	Angiogenesis | negative	cancerSEA
SERPINE1	Angiogenesis | positive	cancerSEA
MT2A	Angiogenesis | positive	cancerSEA
CTSB	Angiogenesis | positive	cancerSEA
HLA-A	Angiogenesis | positive	cancerSEA
CD74	Angiogenesis | positive	cancerSEA
TYMP	Angiogenesis | positive	cancerSEA
APLP2	Angiogenesis | positive	cancerSEA
SAT1	Angiogenesis | positive	cancerSEA
SH3BGRL3	Angiogenesis | positive	cancerSEA
TPM4	Angiogenesis | positive	cancerSEA
FLNA	Angiogenesis | positive	cancerSEA
S100A6	Angiogenesis | positive	cancerSEA
ITGA3	Angiogenesis | positive	cancerSEA
VIM	Angiogenesis | positive	cancerSEA
TMSB10	Angiogenesis | positive	cancerSEA
PKM	Angiogenesis | positive	cancerSEA
NRP1	Angiogenesis | positive	cancerSEA
CST3	Angiogenesis | positive	cancerSEA
TIMP1	Angiogenesis | positive	cancerSEA
NDRG1	Angiogenesis | positive	cancerSEA
FN1	Angiogenesis | positive	cancerSEA
TGFBI	Angiogenesis | positive	cancerSEA
NT5C3A	Angiogenesis | positive	cancerSEA
LGALS3	Angiogenesis | positive	cancerSEA
ITGB1	Angiogenesis | positive	cancerSEA
IGFBP7	Angiogenesis | positive	cancerSEA
ANGPTL4	Angiogenesis | positive	cancerSEA
PLEC	Angiogenesis | positive	cancerSEA
ANXA2	Angiogenesis | positive	cancerSEA
S100A10	Angiogenesis | positive	cancerSEA
TMSB4X	Angiogenesis | positive	cancerSEA
CRIP1	Angiogenesis | positive	cancerSEA
HLA-B	Angiogenesis | positive	cancerSEA
VIM	EMT | positive	cancerSEA
FN1	EMT | positive	cancerSEA
S100A10	EMT | positive	cancerSEA
ACTB	EMT | positive	cancerSEA
CTSB	EMT | positive	cancerSEA
TIMP1	EMT | positive	cancerSEA
ANXA2	EMT | positive	cancerSEA
S100A6	EMT | positive	cancerSEA
TNC	EMT | positive	cancerSEA
PKM	EMT | positive	cancerSEA
LGALS1	EMT | positive	cancerSEA
SPARC	EMT | positive	cancerSEA
TUBA1B	EMT | positive	cancerSEA
MT2A	EMT | positive	cancerSEA
COL1A2	EMT | positive	cancerSEA
CD99	EMT | positive	cancerSEA
PLAUR	EMT | positive	cancerSEA
TMSB10	EMT | positive	cancerSEA
CD59	EMT | positive	cancerSEA
CST3	EMT | positive	cancerSEA
TGFBI	EMT | positive	cancerSEA
CLU	EMT | positive	cancerSEA
CALU	EMT | positive	cancerSEA
LOXL2	EMT | positive	cancerSEA
SH3BGRL3	EMT | positive	cancerSEA
ITGB1	EMT | positive	cancerSEA
S100A11	EMT | positive	cancerSEA
ANXA5	EMT | positive	cancerSEA
TPM4	EMT | positive	cancerSEA
CAVIN1	EMT | positive	cancerSEA
PLEC	EMT | positive	cancerSEA
NEDD4	EMT | negative	cancerSEA
MAPK10	EMT | negative	cancerSEA
RPS8	EMT | negative	cancerSEA
RPL37	EMT | negative	cancerSEA
C12orf50	EMT | negative	cancerSEA
SSTR2	EMT | negative	cancerSEA
OR5AS1	EMT | negative	cancerSEA
GDF5OS	EMT | negative	cancerSEA
FOS	Hypoxia | positive	cancerSEA
DDIT4	Hypoxia | positive	cancerSEA
NDRG1	Hypoxia | positive	cancerSEA
PGK1	Hypoxia | positive	cancerSEA
KLF6	Hypoxia | positive	cancerSEA
GAPDH	Hypoxia | positive	cancerSEA
ENO2	Hypoxia | positive	cancerSEA
VEGFA	Hypoxia | positive	cancerSEA
DUSP1	Hypoxia | positive	cancerSEA
LDHA	Hypoxia | positive	cancerSEA
CTSB	Hypoxia | positive	cancerSEA
PKM	Hypoxia | positive	cancerSEA
SLC2A1	Hypoxia | positive	cancerSEA
HILPDA	Hypoxia | positive	cancerSEA
ADM	Hypoxia | positive	cancerSEA
BNIP3	Hypoxia | positive	cancerSEA
ANXA2	Hypoxia | positive	cancerSEA
MT1X	Hypoxia | positive	cancerSEA
VIM	Hypoxia | positive	cancerSEA
TMSB10	Hypoxia | positive	cancerSEA
ENO1	Hypoxia | positive	cancerSEA
ACTB	Hypoxia | positive	cancerSEA
MYL6	Hypoxia | positive	cancerSEA
TPI1	Hypoxia | positive	cancerSEA
SAT1	Hypoxia | positive	cancerSEA
LGALS3	Hypoxia | positive	cancerSEA
DNAJB1	Hypoxia | positive	cancerSEA
PAM	Hypoxia | positive	cancerSEA
ANGPTL4	Hypoxia | positive	cancerSEA
JUNB	Hypoxia | positive	cancerSEA
EIF1	Hypoxia | positive	cancerSEA
JUN	Hypoxia | positive	cancerSEA
S100A10	Hypoxia | positive	cancerSEA
ERO1A	Hypoxia | positive	cancerSEA
FTL	Hypoxia | positive	cancerSEA
CST3	Hypoxia | positive	cancerSEA
BNIP3L	Hypoxia | positive	cancerSEA
CAV1	Hypoxia | positive	cancerSEA
LOX	Hypoxia | positive	cancerSEA
ARRDC3	Hypoxia | positive	cancerSEA
HPCAL1	Hypoxia | positive	cancerSEA
EGR1	Hypoxia | positive	cancerSEA
CLU	Hypoxia | positive	cancerSEA
P4HA1	Hypoxia | positive	cancerSEA
MT2A	Hypoxia | positive	cancerSEA
EGLN3	Hypoxia | positive	cancerSEA
BHLHE40	Hypoxia | positive	cancerSEA
UBC	Hypoxia | positive	cancerSEA
C4orf3	Hypoxia | positive	cancerSEA
FTH1	Hypoxia | positive	cancerSEA
PFKFB3	Hypoxia | positive	cancerSEA
MIF	Hypoxia | positive	cancerSEA
CD99	Hypoxia | positive	cancerSEA
PLAUR	Hypoxia | positive	cancerSEA
TNC	Hypoxia | positive	cancerSEA
SLC2A3	Hypoxia | positive	cancerSEA
SPAG4	Hypoxia | positive	cancerSEA
PLOD1	Hypoxia | positive	cancerSEA
APLP2	Hypoxia | positive	cancerSEA
GADD45B	Hypoxia | positive	cancerSEA
APOL1	Hypoxia | positive	cancerSEA
HIF1A	Hypoxia | positive	cancerSEA
NFKBIA	Hypoxia | positive	cancerSEA
SLCO4A1	Hypoxia | positive	cancerSEA
RIOK3	Hypoxia | positive	cancerSEA
GPI	Hypoxia | positive	cancerSEA
NAMPT	Hypoxia | positive	cancerSEA
HSPB1	Hypoxia | positive	cancerSEA
SERPINE1	Hypoxia | positive	cancerSEA
CA9	Hypoxia | positive	cancerSEA
WSB1	Hypoxia | positive	cancerSEA
KRT18	Hypoxia | positive	cancerSEA
FAM162A	Hypoxia | positive	cancerSEA
ERRFI1	Hypoxia | positive	cancerSEA
F3	Hypoxia | positive	cancerSEA
MXI1	Hypoxia | positive	cancerSEA
FKBP9	Hypoxia | positive	cancerSEA
FOSB	Hypoxia | positive	cancerSEA
ZFP36	Hypoxia | positive	cancerSEA
JUND	Hypoxia | positive	cancerSEA
SLC38A2	Hypoxia | positive	cancerSEA
GLUL	Hypoxia | positive	cancerSEA
TMBIM1	Hypoxia | positive	cancerSEA
RHOB	Hypoxia | positive	cancerSEA
OCIAD2	Hypoxia | positive	cancerSEA
IGFBP3	Hypoxia | positive	cancerSEA
RSU1	Hypoxia | positive	cancerSEA
PDK1	Hypoxia | positive	cancerSEA
HK2	Hypoxia | positive	cancerSEA
IER2	Hypoxia | positive	cancerSEA
PDZK1IP1	Hypoxia | positive	cancerSEA
AK4	Hypoxia | positive	cancerSEA
DYNLT3	Hypoxia | positive	cancerSEA
B2M	Hypoxia | positive	cancerSEA
TPM4	Hypoxia | positive	cancerSEA
ACTG1	Hypoxia | positive	cancerSEA
MAFF	Hypoxia | positive	cancerSEA
LAMB3	Hypoxia | positive	cancerSEA
PSAP	Hypoxia | positive	cancerSEA
HLA-E	Hypoxia | positive	cancerSEA
CLIC1	Hypoxia | positive	cancerSEA
SNRPF	Hypoxia | negative	cancerSEA
RPS27A	Hypoxia | negative	cancerSEA
HSP90AB1	Hypoxia | negative	cancerSEA
SRSF3	Hypoxia | negative	cancerSEA
HSPD1	Hypoxia | negative	cancerSEA
CCT6A	Hypoxia | negative	cancerSEA
CCT5	Hypoxia | negative	cancerSEA
SRSF2	Hypoxia | negative	cancerSEA
CCT3	Hypoxia | negative	cancerSEA
NMNAT3	Hypoxia | negative	cancerSEA
HMGB1	Hypoxia | negative	cancerSEA
NFKBIA	Inflammation | positive	cancerSEA
JUNB	Inflammation | positive	cancerSEA
MT2A	Inflammation | positive	cancerSEA
S100A6	Inflammation | positive	cancerSEA
PLAUR	Inflammation | positive	cancerSEA
CD74	Inflammation | positive	cancerSEA
PPP1R15A	Inflammation | positive	cancerSEA
EGR1	Inflammation | positive	cancerSEA
SDC4	Inflammation | positive	cancerSEA
CXCL8	Inflammation | positive	cancerSEA
FTL	Inflammation | positive	cancerSEA
NAMPT	Inflammation | positive	cancerSEA
SERPINE1	Inflammation | positive	cancerSEA
ZFP36	Inflammation | positive	cancerSEA
SAT1	Inflammation | positive	cancerSEA
IER3	Inflammation | positive	cancerSEA
IER2	Inflammation | positive	cancerSEA
SQSTM1	Inflammation | positive	cancerSEA
ATF3	Inflammation | positive	cancerSEA
CTSB	Inflammation | positive	cancerSEA
HLA-A	Inflammation | positive	cancerSEA
CCL5	Inflammation | positive	cancerSEA
IL32	Inflammation | positive	cancerSEA
TYMP	Inflammation | positive	cancerSEA
VIM	Inflammation | positive	cancerSEA
MAP2K3	Inflammation | positive	cancerSEA
KLF6	Inflammation | positive	cancerSEA
ICAM1	Inflammation | positive	cancerSEA
TNFAIP3	Inflammation | positive	cancerSEA
NR4A1	Inflammation | positive	cancerSEA
JUND	Inflammation | positive	cancerSEA
THBS1	Inflammation | positive	cancerSEA
BTG2	Inflammation | positive	cancerSEA
CXCL1	Inflammation | positive	cancerSEA
FOS	Inflammation | positive	cancerSEA
MAFF	Inflammation | positive	cancerSEA
TNFAIP2	Inflammation | positive	cancerSEA
ZFP36L1	Inflammation | positive	cancerSEA
TMSB4X	Inflammation | positive	cancerSEA
CFLAR	Inflammation | positive	cancerSEA
GPRC5A	Inflammation | positive	cancerSEA
DAPP1	Inflammation | positive	cancerSEA
ACTN1	Inflammation | positive	cancerSEA
CXCL2	Inflammation | positive	cancerSEA
APLP2	Inflammation | positive	cancerSEA
B4GALT1	Inflammation | positive	cancerSEA
LYZ	Inflammation | positive	cancerSEA
CST3	Inflammation | positive	cancerSEA
COTL1	Inflammation | positive	cancerSEA
PON2	Inflammation | positive	cancerSEA
NCOA7	Inflammation | positive	cancerSEA
CCL20	Inflammation | positive	cancerSEA
OPTN	Inflammation | positive	cancerSEA
IRF1	Inflammation | positive	cancerSEA
FOSB	Inflammation | positive	cancerSEA
RAC2	Inflammation | positive	cancerSEA
ANXA1	Inflammation | positive	cancerSEA
GLUL	Inflammation | positive	cancerSEA
MCL1	Inflammation | positive	cancerSEA
RHOB	Inflammation | positive	cancerSEA
OSMR	Inflammation | positive	cancerSEA
TNIP1	Inflammation | positive	cancerSEA
SLC25A37	Inflammation | positive	cancerSEA
RHOC	Inflammation | positive	cancerSEA
TPM4	Inflammation | positive	cancerSEA
FTH1	Inflammation | positive	cancerSEA
CEBPB	Inflammation | positive	cancerSEA
SAA1	Inflammation | positive	cancerSEA
JUN	Inflammation | positive	cancerSEA
PHLDA2	Inflammation | positive	cancerSEA
IFITM2	Inflammation | positive	cancerSEA
LITAF	Inflammation | positive	cancerSEA
HLA-DQA1	Inflammation | positive	cancerSEA
S100A10	Inflammation | positive	cancerSEA
HLA-C	Inflammation | positive	cancerSEA
HLA-B	Inflammation | positive	cancerSEA
RPSA	Inflammation | negative	cancerSEA
NPM1	Inflammation | negative	cancerSEA
RPS5	Inflammation | negative	cancerSEA
RPLP0	Inflammation | negative	cancerSEA
SUB1	Inflammation | negative	cancerSEA
RPS3	Inflammation | negative	cancerSEA
HMGB1	Inflammation | negative	cancerSEA
SLC25A5	Inflammation | negative	cancerSEA
GGCT	Inflammation | negative	cancerSEA
PEBP1	Inflammation | negative	cancerSEA
STMN1	Inflammation | negative	cancerSEA
TMPO	Inflammation | negative	cancerSEA
RPL21	Inflammation | negative	cancerSEA
RPL5	Inflammation | negative	cancerSEA
RPS10	Inflammation | negative	cancerSEA
SNRPD2	Inflammation | negative	cancerSEA
RAN	Inflammation | negative	cancerSEA
HNRNPA1	Inflammation | negative	cancerSEA
ATP6V1G1	Inflammation | negative	cancerSEA
RPL35	Inflammation | negative	cancerSEA
SNRPF	Inflammation | negative	cancerSEA
RPS2	Inflammation | negative	cancerSEA
RPS8	Inflammation | negative	cancerSEA
RBMX	Inflammation | negative	cancerSEA
RPL7	Inflammation | negative	cancerSEA
RPL7A	Inflammation | negative	cancerSEA
ATP5PF	Inflammation | negative	cancerSEA
H3F3A	Inflammation | negative	cancerSEA
H2AFZ	Inflammation | negative	cancerSEA
PTTG1	Inflammation | negative	cancerSEA
MINOS1	Inflammation | negative	cancerSEA
TUBB	Inflammation | negative	cancerSEA
HIST1H4C	Inflammation | negative	cancerSEA
RPS4X	Inflammation | negative	cancerSEA
HMGN2	Inflammation | negative	cancerSEA
NUCKS1	Inflammation | negative	cancerSEA
HLTF	Inflammation | negative	cancerSEA
SMC1A	Inflammation | negative	cancerSEA
UBE2T	Inflammation | negative	cancerSEA
LYRM2	Inflammation | negative	cancerSEA
PSMA7	Inflammation | negative	cancerSEA
RPS19	Inflammation | negative	cancerSEA
RPL18A	Inflammation | negative	cancerSEA
SMC3	Inflammation | negative	cancerSEA
YWHAE	Inflammation | negative	cancerSEA
COX6A1	Inflammation | negative	cancerSEA
RPS12	Inflammation | negative	cancerSEA
EEF1B2	Inflammation | negative	cancerSEA
RPS15	Inflammation | negative	cancerSEA
CACYBP	Inflammation | negative	cancerSEA
HMGN3	Inflammation | negative	cancerSEA
SET	Inflammation | negative	cancerSEA
UBA2	Inflammation | negative	cancerSEA
TOP2A	Inflammation | negative	cancerSEA
PCNA	Inflammation | negative	cancerSEA
NASP	Inflammation | negative	cancerSEA
YWHAQ	Inflammation | negative	cancerSEA
TIMM17A	Inflammation | negative	cancerSEA
RPS6	Inflammation | negative	cancerSEA
RPS11	Inflammation | negative	cancerSEA
RPL11	Inflammation | negative	cancerSEA
PHIP	Inflammation | negative	cancerSEA
TMEM209	Inflammation | negative	cancerSEA
NDUFC2	Inflammation | negative	cancerSEA
ATP5F1A	Inflammation | negative	cancerSEA
CCT8	Inflammation | negative	cancerSEA
RPL29	Inflammation | negative	cancerSEA
CCT3	Inflammation | negative	cancerSEA
HMGB2	Inflammation | negative	cancerSEA
NDUFB8	Inflammation | negative	cancerSEA
PRDX2	Inflammation | negative	cancerSEA
LSM3	Inflammation | negative	cancerSEA
CKS1B	Inflammation | negative	cancerSEA
RPL4	Inflammation | negative	cancerSEA
COX8A	Inflammation | negative	cancerSEA
RPLP2	Inflammation | negative	cancerSEA
SNRPE	Inflammation | negative	cancerSEA
CMSS1	Inflammation | negative	cancerSEA
NDUFA12	Inflammation | negative	cancerSEA
PTMA	Inflammation | negative	cancerSEA
SRSF10	Inflammation | negative	cancerSEA
SUMO2	Inflammation | negative	cancerSEA
RPL37A	Inflammation | negative	cancerSEA
RPL12	Inflammation | negative	cancerSEA
MRPL42	Inflammation | negative	cancerSEA
VDAC1	Inflammation | negative	cancerSEA
RPS18	Inflammation | negative	cancerSEA
ADAM28	Activated B cell	Adaptive
CD180	Activated B cell	Adaptive
CD79B	Activated B cell	Adaptive
BLK	Activated B cell	Adaptive
CD19	Activated B cell	Adaptive
MS4A1	Activated B cell	Adaptive
TNFRSF17	Activated B cell	Adaptive
IGHM	Activated B cell	Adaptive
GNG7	Activated B cell	Adaptive
MICAL3	Activated B cell	Adaptive
SPIB	Activated B cell	Adaptive
HLA-DOB	Activated B cell	Adaptive
IGKC	Activated B cell	Adaptive
PNOC	Activated B cell	Adaptive
FCRL2	Activated B cell	Adaptive
BACH2	Activated B cell	Adaptive
CR2	Activated B cell	Adaptive
TCL1A	Activated B cell	Adaptive
AKNA	Activated B cell	Adaptive
ARHGAP25	Activated B cell	Adaptive
CCL21	Activated B cell	Adaptive
CD27	Activated B cell	Adaptive
CD38	Activated B cell	Adaptive
CLEC17A	Activated B cell	Adaptive
CLEC9A	Activated B cell	Adaptive
CLECL1	Activated B cell	Adaptive
AIM2	Activated CD4 T cell	Adaptive
BIRC3	Activated CD4 T cell	Adaptive
BRIP1	Activated CD4 T cell	Adaptive
CCL20	Activated CD4 T cell	Adaptive
CCL4	Activated CD4 T cell	Adaptive
CCL5	Activated CD4 T cell	Adaptive
CCNB1	Activated CD4 T cell	Adaptive
CCR7	Activated CD4 T cell	Adaptive
DUSP2	Activated CD4 T cell	Adaptive
ESCO2	Activated CD4 T cell	Adaptive
ETS1	Activated CD4 T cell	Adaptive
EXO1	Activated CD4 T cell	Adaptive
EXOC6	Activated CD4 T cell	Adaptive
IARS	Activated CD4 T cell	Adaptive
ITK	Activated CD4 T cell	Adaptive
KIF11	Activated CD4 T cell	Adaptive
KNTC1	Activated CD4 T cell	Adaptive
NUF2	Activated CD4 T cell	Adaptive
PRC1	Activated CD4 T cell	Adaptive
PSAT1	Activated CD4 T cell	Adaptive
RGS1	Activated CD4 T cell	Adaptive
RTKN2	Activated CD4 T cell	Adaptive
SAMSN1	Activated CD4 T cell	Adaptive
SELL	Activated CD4 T cell	Adaptive
TRAT1	Activated CD4 T cell	Adaptive
ADRM1	Activated CD8 T cell	Adaptive
AHSA1	Activated CD8 T cell	Adaptive
C1GALT1C1	Activated CD8 T cell	Adaptive
CCT6B	Activated CD8 T cell	Adaptive
CD37	Activated CD8 T cell	Adaptive
CD3D	Activated CD8 T cell	Adaptive
CD3E	Activated CD8 T cell	Adaptive
CD3G	Activated CD8 T cell	Adaptive
CD69	Activated CD8 T cell	Adaptive
CD8A	Activated CD8 T cell	Adaptive
CETN3	Activated CD8 T cell	Adaptive
CSE1L	Activated CD8 T cell	Adaptive
GEMIN6	Activated CD8 T cell	Adaptive
GNLY	Activated CD8 T cell	Adaptive
GPT2	Activated CD8 T cell	Adaptive
GZMA	Activated CD8 T cell	Adaptive
GZMH	Activated CD8 T cell	Adaptive
GZMK	Activated CD8 T cell	Adaptive
IL2RB	Activated CD8 T cell	Adaptive
LCK	Activated CD8 T cell	Adaptive
MPZL1	Activated CD8 T cell	Adaptive
NKG7	Activated CD8 T cell	Adaptive
PIK3IP1	Activated CD8 T cell	Adaptive
PTRH2	Activated CD8 T cell	Adaptive
TIMM13	Activated CD8 T cell	Adaptive
ZAP70	Activated CD8 T cell	Adaptive
ABHD3	Central memory CD4 T cell	Adaptive
AHNAK	Central memory CD4 T cell	Adaptive
ANXA2P2	Central memory CD4 T cell	Adaptive
AQP3	Central memory CD4 T cell	Adaptive
ATHL1	Central memory CD4 T cell	Adaptive
BMI1	Central memory CD4 T cell	Adaptive
BZW2	Central memory CD4 T cell	Adaptive
CD63	Central memory CD4 T cell	Adaptive
COL4A1	Central memory CD4 T cell	Adaptive
CYLD	Central memory CD4 T cell	Adaptive
ELMO2	Central memory CD4 T cell	Adaptive
FYN	Central memory CD4 T cell	Adaptive
GLIPR1	Central memory CD4 T cell	Adaptive
GSS	Central memory CD4 T cell	Adaptive
IFITM2	Central memory CD4 T cell	Adaptive
ITGB1	Central memory CD4 T cell	Adaptive
ITGB2	Central memory CD4 T cell	Adaptive
KLF5	Central memory CD4 T cell	Adaptive
LSP1	Central memory CD4 T cell	Adaptive
NDUFB9	Central memory CD4 T cell	Adaptive
PKM2	Central memory CD4 T cell	Adaptive
SFXN3	Central memory CD4 T cell	Adaptive
SIRPG	Central memory CD4 T cell	Adaptive
SMAD4	Central memory CD4 T cell	Adaptive
STX4	Central memory CD4 T cell	Adaptive
TRADD	Central memory CD4 T cell	Adaptive
VIM	Central memory CD4 T cell	Adaptive
XRCC6	Central memory CD4 T cell	Adaptive
ACTN4	Central memory CD8 T cell	Adaptive
ADAM12	Central memory CD8 T cell	Adaptive
ADCY9	Central memory CD8 T cell	Adaptive
F13A1	Central memory CD8 T cell	Adaptive
FCER1G	Central memory CD8 T cell	Adaptive
FCGR3B	Central memory CD8 T cell	Adaptive
FGF7	Central memory CD8 T cell	Adaptive
FKBP4	Central memory CD8 T cell	Adaptive
GLUD1	Central memory CD8 T cell	Adaptive
GM2A	Central memory CD8 T cell	Adaptive
GUSB	Central memory CD8 T cell	Adaptive
IL1RN	Central memory CD8 T cell	Adaptive
NOL11	Central memory CD8 T cell	Adaptive
NTRK1	Central memory CD8 T cell	Adaptive
RARA	Central memory CD8 T cell	Adaptive
RNF128	Central memory CD8 T cell	Adaptive
SIGLEC1	Central memory CD8 T cell	Adaptive
TNFRSF11A	Central memory CD8 T cell	Adaptive
TOX4	Central memory CD8 T cell	Adaptive
UBA52	Central memory CD8 T cell	Adaptive
ULBP1	Central memory CD8 T cell	Adaptive
ATM	Effector memeory CD4 T cell	Adaptive
CASP3	Effector memeory CD4 T cell	Adaptive
CASQ1	Effector memeory CD4 T cell	Adaptive
CD300E	Effector memeory CD4 T cell	Adaptive
DARS	Effector memeory CD4 T cell	Adaptive
DOCK9	Effector memeory CD4 T cell	Adaptive
EXOSC9	Effector memeory CD4 T cell	Adaptive
EZH2	Effector memeory CD4 T cell	Adaptive
GDE1	Effector memeory CD4 T cell	Adaptive
IL34	Effector memeory CD4 T cell	Adaptive
NCOA4	Effector memeory CD4 T cell	Adaptive
NEFL	Effector memeory CD4 T cell	Adaptive
PDGFRL	Effector memeory CD4 T cell	Adaptive
PTGS1	Effector memeory CD4 T cell	Adaptive
REPS1	Effector memeory CD4 T cell	Adaptive
SCG2	Effector memeory CD4 T cell	Adaptive
SDPR	Effector memeory CD4 T cell	Adaptive
SIGLEC14	Effector memeory CD4 T cell	Adaptive
SIGLEC6	Effector memeory CD4 T cell	Adaptive
TAL1	Effector memeory CD4 T cell	Adaptive
TFEC	Effector memeory CD4 T cell	Adaptive
TIPIN	Effector memeory CD4 T cell	Adaptive
TPK1	Effector memeory CD4 T cell	Adaptive
UQCRB	Effector memeory CD4 T cell	Adaptive
USP9Y	Effector memeory CD4 T cell	Adaptive
WIPF1	Effector memeory CD4 T cell	Adaptive
ZCRB1	Effector memeory CD4 T cell	Adaptive
ACAP1	Effector memeory CD8 T cell	Adaptive
APOL3	Effector memeory CD8 T cell	Adaptive
ARHGAP10	Effector memeory CD8 T cell	Adaptive
ATP10D	Effector memeory CD8 T cell	Adaptive
C3AR1	Effector memeory CD8 T cell	Adaptive
CCR5	Effector memeory CD8 T cell	Adaptive
CD160	Effector memeory CD8 T cell	Adaptive
CD55	Effector memeory CD8 T cell	Adaptive
CFLAR	Effector memeory CD8 T cell	Adaptive
CMKLR1	Effector memeory CD8 T cell	Adaptive
DAPP1	Effector memeory CD8 T cell	Adaptive
FCRL6	Effector memeory CD8 T cell	Adaptive
FLT3LG	Effector memeory CD8 T cell	Adaptive
GZMM	Effector memeory CD8 T cell	Adaptive
HAPLN3	Effector memeory CD8 T cell	Adaptive
HLA-DMB	Effector memeory CD8 T cell	Adaptive
HLA-DPA1	Effector memeory CD8 T cell	Adaptive
HLA-DPB1	Effector memeory CD8 T cell	Adaptive
IFI16	Effector memeory CD8 T cell	Adaptive
LIME1	Effector memeory CD8 T cell	Adaptive
LTK	Effector memeory CD8 T cell	Adaptive
NFKBIA	Effector memeory CD8 T cell	Adaptive
SETD7	Effector memeory CD8 T cell	Adaptive
SIK1	Effector memeory CD8 T cell	Adaptive
TRIB2	Effector memeory CD8 T cell	Adaptive
ACP5	Gamma delta T cell	Adaptive
AQP9	Gamma delta T cell	Adaptive
BTN3A2	Gamma delta T cell	Adaptive
C1orf54	Gamma delta T cell	Adaptive
CARD8	Gamma delta T cell	Adaptive
CCL18	Gamma delta T cell	Adaptive
CD209	Gamma delta T cell	Adaptive
CD33	Gamma delta T cell	Adaptive
CD36	Gamma delta T cell	Adaptive
CDK5	Gamma delta T cell	Adaptive
IL10RB	Gamma delta T cell	Adaptive
KLRF1	Gamma delta T cell	Adaptive
LGALS1	Gamma delta T cell	Adaptive
MAPK7	Gamma delta T cell	Adaptive
KLHL7	Gamma delta T cell	Adaptive
KRT80	Gamma delta T cell	Adaptive
LAMC1	Gamma delta T cell	Adaptive
LCORL	Gamma delta T cell	Adaptive
LMNB1	Gamma delta T cell	Adaptive
MEIS3P1	Gamma delta T cell	Adaptive
MPL	Gamma delta T cell	Adaptive
FABP1	Gamma delta T cell	Adaptive
FABP5	Gamma delta T cell	Adaptive
FADD	Gamma delta T cell	Adaptive
MFAP3L	Gamma delta T cell	Adaptive
MINPP1	Gamma delta T cell	Adaptive
RPS24	Gamma delta T cell	Adaptive
RPS7	Gamma delta T cell	Adaptive
RPS9	Gamma delta T cell	Adaptive
DBNL	Gamma delta T cell	Adaptive
CCL13	Gamma delta T cell	Adaptive
CD22	Immature  B cell	Adaptive
CYBB	Immature  B cell	Adaptive
FAM129C	Immature  B cell	Adaptive
FCRL1	Immature  B cell	Adaptive
FCRL3	Immature  B cell	Adaptive
FCRL5	Immature  B cell	Adaptive
FCRLA	Immature  B cell	Adaptive
HDAC9	Immature  B cell	Adaptive
HLA-DQA1	Immature  B cell	Adaptive
HVCN1	Immature  B cell	Adaptive
KIAA0226	Immature  B cell	Adaptive
NCF1	Immature  B cell	Adaptive
NCF1B	Immature  B cell	Adaptive
P2RY10	Immature  B cell	Adaptive
